,content_clean
53101,اللي كان امسي وماضي ومستقبل زماني واللي كان اغلي امل يضوي علي دروب الاماني شائت الاقدار ينسي كل ماضي والزمن غدار غير كل شي في ثواني اللي كان امسي
33882,تساؤلات انا بنت غير اجتماعيه ولا اطلع و اجي كثير و صراحه ابي اتزوج كيف اسعي ل نفسي
56785,يدي تحكني وقلبي يعورني بس لا والف لا ، لو اموت
15326,وصية اليوم وكل يوم اسمعوا قران كثير لا يخلوا يومكم من هالنعمة لان لها اثر كبير علي القلب ولان من اسباب رحمة الله سماع القران
48980,يارب ال يعلي وميقلش يارب ال يعلي وميقلش يارب ال يعلي وميقلش يارب ال يعلي وميقلش يارب يارب ميقلش ويزيد كمان
57401,علي المجلس الانتقالي يحتضن جميع الدكاترة الجنوبين العائدين من جنوب المملكة بحكم خبرتهم يقدر يستفيد منهم ويحطهم في مكانهم الصح وشكرا
17669,لماذا لم اعد اجد سبيلا يوقظ شغفي ؟ شغفك مجرد مساحيق تجميل رديئة لابد ان تري من خلال عيني فلا يهم الكوكب ما يدور بداخلك انت تستنزف طاقتك بسرعة وانا مكابحك يا فتي ظلامي ينقذك لم يعد يربطك شئ بالبشر فانت ميت مثلي لا تشعر لا تتالم بل تبتسم ساخرا من واقعهم
36740,علامات الحب عندي اني ارفع ضغطك هذا الصح والا اروح اتعالج ؟
84909,كنت اتامل اخر رسالة عاطفية بيني وبين بالحديقة متاثرة عاطفيا واجة صرصر وكف علي راسي سوي الي مفاجعة طلعني من وضع المتاثرة الي وضع الخائفة وصرت اصرخ حتي ضحكت علي نفسي شلون جهازي العصبي يكدر يطلع من اللحظة تحت تاثير حشرة صغيرة وانا كنت تحت تاثير اشتياق حشرة عملاقة
106652,لماذا لا تاتي كنجمة بردانة تختبئ تحت لحافي ؟ سوزان مش انا
58305,الجنة للمتقين ومعني المتقين الي يتقي النار حتي في اية بما معناها كل نفسا ذائقة الموت فمن زحزح عن النار فقد فاز فوزا عظيما يعني حرفيا النار هي الاصل ولازم نؤمن عشان نتزحزح عنها و اية اخري ولو شئنا لاتينا كل نفسا هداها ولكن حق القول مني لاملان جهنم من الجنة والناس اجمعين
21785,اشتريت عدسه رخيصة لان هالفترة اعيش بقحط ، استودعت الله عيوني بس الميك اب لازم يطلع حلو
50370,من احسن النصائح السمعتها بحياتي انو لازم نعيش حياتنا بطريقة بحيث منندم علي اي شي سويناه او مسويناه الندم واحد من اتعس انواع المشاعر
17856,احنا الان بالصيف بالتوقيت العالمي ساعات الليل اقصر قبل خمس دقايق اذن لصلاة العشا والحين الساعة
117016,اللهم ارزقني عقلا يزن بانصاف ولسانا ينطق برفق وروحا تعرف متي تلين ومتي تشتد واجعلني اري في كل اختيار بصمة رضاك وفي كل موقف حكمة تزيدني رشدا ويقينا
82537,علي فكره هذا اسوء م انتجته الشوكلت والكل يتفق ولاحد يحبه الا الي ذوقهم غريب
79601,مبحبش لما اعمل حاجة بحبها حد يجي ويقرف اهلي ويعيب فيها ويكرهني فيها ، انتا مال شكلك انتا
79228,بعدتوا ؟ ايــوة طب وهو عمل ايه لما بعدتوا ؟ قال انه هيموت نفسه ومـوت نفسه ؟ لا طيب ؟ ؟
43627,مين مغنيه المفضل يتمني له التوفيق بدراسته وحياته ؟ انا
81031,احد الحاجات اللي كنت اتنرفز منها انه اذا احد قالي هونيها وتهون او قال اي جملة معناها اني اسلم اموري للقدر ، لاني كنت اشوفها غير واقعيه كنت اشوف انا اللي احدد كل شي
13640,دخلت اكاونتي اللي من الفين وحطبه ولقيتني مكلمة ملحن اغاني رابح صقر عشان يوصل له كلماتي يغنيها احتاج ربع ثقتي ذيك الايام
111947,مافي قروبات تعرفون فيها علي ناس جديده احس مره طفش
127865,عمري ماهنسي كسرة نفسي وقلة حيلتي وعياطي لوحدي في الشوارع
58113,مقدرين انزعاجك اخي العزيز سيتواصل معك فريقنا في اقرب وقت للمتابعة
40330,انا عمري ما كنت تعبان نفسيا قد الفتره دي حزن واكتئاب علي خنقه وضيقة نفس والوجع بينتهي باني اعمل نفسي اني ف افضل حال مع اني بكون ميت اساسابفضل اقول فترة وتعدي ازمه وتعدي مشكله وتعدي شده وتعدي لحدم حياتي هي اللي بتعدي للاسف حاسس اني مش عاوزاي حاجه خالص
129290,صحيت من النوم ايه بس ده حتي الجاثوم مالحقش يقعد
87890,انتهت علاقه مدتها شهرين ازق شخص تعرفت عليه بالسنه كامله النفاق يمشي في دمها بنت الكلب
24520,عند مرض الام تمرض النفس وتمرض الروح ويمرض البيت حتي الحياة تمرض بنظرك
128961,اطعام المعزين صدقة للميت في ايامه الاولي في القبر جزئ الله خيرا من يتكفل بها ويحب اهل الميت كثرة الناس واطعامهم كلما كثر الناس كلما فرحوا وتخف احزانهم وهم يعلمون ان اجر اطعام الطعام لن يضيع عند الله الامر مختلف وهذه عادة بكل جزيرة العرب عند كل القبائل والعوائل وحتي الحضر
831,مش هسال علي حد مش بيسال عليا تاني والله حتي لو كان مين خلصانة
127493,حتي لو كنتي مجهولة ونكره وتكتبين لناس بسوشل ميديا مارح يخفف من سوء كلامك او العقاب اللي بيجيك كان يمدي اسوي كت تويت واعلق ، بس مره مو حابه اني ازود ارباحها لان واضح هذا هدفها
69583,الاسوا هو ان يعاد الشعور الذي جاهدت طويلا ان تتجاوزه
52732,السلام عليكم ، ، بغيت محل بقلاوة تركية ممتازة بمدينة جيزان
66906,ربنا اتنا من لدنك رحمة وهيئ لنا من امرنا رشدا
34769,لا لقد تناولت المرقوق و كان لذيذا حقا اوبا مطحس يحبكم ، ابقوا بصحة جيدة
56035,ماضر الارض لو قاربت بين اسفارنا واصبح بيتك بالحي جواري ؟
9667,ماما بتحكي انه في جانب تاني بغزة بيكون حلو بتشوفيه لما بدك تشوفيه طب انا اعرف امتي اني بدي شوفه وهو في حد شافه قبل ماما ؟
104836,حذفت كل قنوات اليوتيوب اللي تتكلم عن النرجسي حامت كبدي
54804,تبا لنار اشعلتها في قلبي حتي تمني وقت احتضارك وقد كان القلب يدعي لك واليوم بات يرجو انهيارك كنت اميرا عزيزا بين قومي واصبحت اليوم بديل سوارك
92588,الحلقات من بداية الموسم وتقييمها فوق وكلنا عارفين عشان الاحداث لكن فجاة التقييم نزل وصار ؟ مع ان احداث الحلقة والانتاج كلهم رهيبين لكن السلبية الوحيده بنظرهم هي شرح لعبة الاعدام والكلام كان طويل لدرجة البعض ما قدر يتحمل هالشيء واعتبروها سلبية موضوع ماله دخل بالاستحناك مرة
110303,تتوقع فيه سعوديين متزوجين بعض ويحترمون بعض ومبسوطين ؟ غير اللي اصلهم مو سعودي ، لان مااتخيل هالموضوع ابدا اشوف شعبن كلامك فيه مبالغة ، فيه عدد كبير من الزواجات الناجحة علي صعيد التالف وعلي صعيد الابناء ، لكن يعني احتمالية فشل الزواج وتعاسته اكبر من نجاحه
20302,ي جماعه الحئونا بقد ساحب علي طول اليوم وجاء سالني اشتقتي لي ؟ وانا مطنقرة قلت لا والحين هو الي زعل خير ؟ الحين مسلسل صراع العناد والكبرياء ذا متي بيخلص ؟ ؟ ؟
62063,الشيء الوحيد اللي راح يخليني اغفر لاهلي واسامحهم هو اني ابي اشوفهم وش بيسوون لي في حفلة تخرجي ذي السنة
18050,فرصة لا تعوض كل واحد يشوف مصلحته بلا وسوسة اخلاق العصر
18919,الظاهرة رونالدو افضل من لمس كرة القدم ولولا الاصابات كان وصل لمرحلة محد وصلها
92570,بشوفهم في الحلم بمشاعرهم الاخيرة تجاهي ، ببقي شيفاها علي وشوشهم و حساها اوي في الحلم و ببقي صاحية عندي احساس اني عاوزة اكلمهم اعتذرلهم او ابررلهم اي حاجة غلط عملتها مش عارفة دة احساس بالذنب ولا هروب من الواقع المرير بالماضي الاليم
75751,انا مش فاهمة الحبوب مدخلة نفسها ليه في حالتي النفسية ومتاثرة اوي كدا اذا كنت انا مش زعلانة وشي زعلان ليه افهم
73144,دقيقه كيف يعني قصار طولهم كم ؟ يارب مو انا
42210,كنت متوترة لانه تابعني واحد من المتابيع القدامي اشوه راح
108830,مش عارفه وصلت ههنااا امتييي بس خلاص وصلت ل اخر كل حاجةة في مسيرتي التعليميه بجد وعندي ابن لذينه ملهوش وصف ولا تبرير
57588,النفس البشرية لا تفتقد شيئا من مضمونها لا يوجد شيء اسمه نسيان كل احساس ، كل تجربة ، كل خبرة وكل عاطفة مهما بلغت من الهوان والبساطه
81298,والله اني حاسه هههههههه بس مالي مزاج اسوي ريتويت ياخي
9605,الحب ما يعرف حلو ولا وحش الجمال جمال الروح المهم يحبها هي لقيت الشيء المفقود عندها
75716,افرح يا انس يا بطل حقك رجع من انهارده انس كبير اوي في عيون الناس و ليس اصغر مشجع كما يقال
99811,في جامعتي اترقب احوالكم ويسعدني عبير صباحكم ويهمني استمرار افراحهم صباحكم رضاء وفرح وسعادة صباح الخير
79486,كتبت منشور طويل لارفقه بهذه الصورة التي ذكرني فيس بوك انني نشرتها سابقا ولكن لسوء الانترنت لم استطع ان انشرهم ولم يعد بامكاني ان اصل اليه وكان يهدف الي عنوان واحد وهو افلت من قيضة المجتمع فانت بطل وتستطيع فعل
43846,توقعت شهر رمضان بيكون اصعب شهر بتطور المشتركات ، لكن ما شاء الله ، هذا اكثر شهر شفت فيه تطور اغلبهم كانوا يعانون من نهم ، واليوم بعد شهر كامل ما عاد له مكان بحياتهم ، انا مبسوطة انهم قدروا يوصلون للي يبونه ، بوريكم الفرق بين بداية المحادثة ونهايتها مع وحدة من البنات
82819,في المستقبل لو سافرت كل مكان بروح له باكل حقهم ، تحمسني فكرة انه الاكله ممكن عمرها اكبر من سنة
86840,عاجل بيرلو يتوقف عن مهنة التدريب ويصبح لاعب ، وقع عقدا رسميا مع نادي خيخانتس
8397,وقفت عند كشك شاهي باخذ جوالي طاح تحت المقعده واللي تبيع بنت جاتني تقول تفضل وطلبت من عندها وانا مابغا بس عشان ما احرجها الله علي الادب والاخلاق
56429,اللهم اني لا اعلم متي يحين موعد رجوعي اليك اللهم احسن خاتمتي ولا تاخذني من هذه الدنيا الا وانت راضي عني يارب
121961,الاجابة لقبين مجلس الصياهد منقية النائلات مجلس الصياهد منقية النائلات سيحة البال الله يوفق الجميع وانا معهم
80552,لما اموت يا جماعة ماتصدقوش اي حد يقولكم انه زعلان عليا ولا يكتب بوست طويل عريض قد ايه حزين علي فراقي ومصدوم انا فارقت من زمان جدا ولا حد حزن ولا حد اتصدم فاماتصدقوش اي حد
87233,انا هستحملكوا بس علشان انتوا بتقابلوا ضغوطات وانا بقابل روبي وبنركب عجل وكده
120534,ليلة الجمعة الاخيرة من شهر شعبان اللهم عافنا واعف عنا واجعلنا في عنايتك ، اللهم انزل علي قلوبنا السكينة والطمانينة وتب علينا توبه ترضي بها عنا وتفرج بها مانحن فيه ، اللهم انا ضعفاء عاجزون فنجا برحمتك التي وسعت كل شئ
98682,كعادته ، بمحاذاة الحب يمر ، فلن تساله اي طريق سلك للذكري ومن دله علي امراة ، لفرط ما انتظرته ، لم تعد تنتظر فوضي الحواس
42610,فوضت امري لمن وسعت الطافه امما نعم الوكيل ونعم العون والمدد
30421,كنا سوي ناقف علي صدر الاحلام ، لين انفتح باب الرحيل ومشينا
45747,شغالتي قررت ترسل لب انها ما بتجدد معي بعد اربع شهور اذا انتهي عقدها و تبي تسافر مين قالك اني بجدد من فين افتيتي اثابك الله والله من زود الثقة ماتدري اني ادور سيفيات لي شهرين
10053,من لديه شخصية حساسة هو شخص طبيعي وهي سمة شخصية وليست مرضا ، وليست مقترنة بالشخصيات الانطوائية بل قدرا من الشخصيات الانبساطية هم شخصيات حساسة كم جاء في احدي الدراسات الشخصيات الحساسة يحتاجون الانتباه الي عدم اسقاط كلمات الاخرين علي انها ضدهم انت ليس لك علاقة كلمات الاخرين
5633,صباح الخير النهاردة اول مرة احس الهواء يدخل لاخر حويصلة هوائية في رئتي من اسبوع بالظبط
26134,لا يمكن لانسان ان يحمل في صدره كل ذلك بمفرده لكنني فعلت
43145,لم اؤذي احدا لكن في ظل المحافظة عليهم اذيت نفسي حظ ماكو
89385,اظن كابوسك صراحة كابوس اي احد ترا وظيفتي اساعدك كيف يعني فسرتها اني احبك
54035,ثم تهرب من الضجيج الي العدم والعدم يفزعك ، لا هدوء في الهدوء كما تظن
35572,هي الوحيده التي تؤكد وجود الله وكان الكلام ده ف برنامجه التليفزيوني العلم والايمان الي اتعمل منه حلقه خلال سنه كامله اخر حاجه هقولها معلش طولت ان بعض كتبه رفضت ف حكم جمال عبد الناصر حيث ان قال داخلها متعمدوش ع الشفاعه اعتماد كامل وان فيها انت مش عابد كويس
23003,لما علي ينرفزني ويخرجني عن شعوري اقعد اكرر بصوت عالي ربنا يهديك يا ابني ربنا يهديك عشان اطفي غضبي منه اوعوا تدعوا علي عيالكم مش هتتحملوا تشوفوا فيهم نتيجة دعاكم
16191,تيك توكر تكاليف الزواج تكسر ظهر الشاب ، وبعد المبلغ ذا كله تستهين المراة وتطلب الطلاق
40360,لو كان الاثر محصور بالذرية ، ما خلد التاريخ انبياء ماتوا بلا ولد ، ولا فلاشفة وعلماء غيروا البشرية وما لهم نسل الذرية امتداد للجسد ، لكن الاثر امتداد للروح والفكر ، وهذا هو اللي ما يموت
128022,الحميارة ذي وش تهبد ؟ لا املاء لا كلام يا رب عفوك
4043,وماذا تعلمتي بعد خذلانك الثاني ؟ ضحكت بسخرية انني لن اتعلم من اي وجع وخذلان ولو بعد مئة عام في البداية اقول لن اثق في احد ثم اثق حتي يخذلني شخص اخر محمد طارق
68421,ساعات من كتر الاصوات الي حواليا بنسي صوتي وانا عاوزه ايه وبتاثر باللي بيتقالي من الاخرين
69694,الانسان الذي يقبل وظفية لا يعرف مهامها فهو تافه والانسان الذي يستمر في وظيفة ولا يقوم بعمله كما بجب فهو تافه والانسان الذي يتامر علي من امن له مصدر رزق شريف فهو خائن تافه والانسان الذي يبيع وطنه لو عرضه مقابل وظيفة او مال فهو تافه اذن احسبوا كم واحد تافه في البلاد
20287,ههه يا فلونا ، بالضبط الفيديو كله هي تمشط شعرها بهدوء وتغني ، مو صدمة وحزن واضحة الشائعات عن انفصالها من فبراير بعد ما خلعت الحجاب وغاب زوجها عن المحتوي ، بس هي ما اكدت ولا نفت رسميا كلها تكهنات و درامي والله اعلم
114931,احب اكل مع اخوي عشان كلما بقي شيء من اكلي اعطيه وياكله
103147,بدور علي مجالس قراءة كتب دينية للنساء فقط علي تليجرام
952,بعض المتابعين الله يسعدهم يكتبون كلام يسعدني مثل تغريداتك راحة للنفس المتعبة او كلما حسيت بالضيق دخلت حسابك الخ من عبارات الشكر والامتنان ومن باب الحب لكم ارجو ان يكون ذلك بعد التوجه لله عز وجل اجعل وجهتك اولا الي ربك صلاة ، دعاء ، ذكر ثم توجه بعدها لما يفيدك هنا وهناك
102828,ياريت اي واحد يخلف بنوته بلاش يسميها علي اسم امه ولا اخته سميها اسم من اسماء جيلهاا بلااش بجد هتفضل طول عمرها متعقده وبتسمع اسمك قديم حقيقي متعلق باسم ولدتك اختك ناديه فيي البيت لكن بلاش تكتبله للبنت بجد عارفين ومقدرين حبك لوالدتك بس بلاش
37043,مش عايزة اشوف لا صور ولا فيديوهات اللبنانيين و هما بينقصفوا لمدة سنتين هما كمان ، مش عايزة اشوف بيانات تنديد من الدول العربية ، مش عايزة اشوف اشلاء بني ادمين كل ما افتح تليفوني ، مش عايزة اشوف ناس بتتشرد و بتجوع ، مش عايزة اعيش اللي عيشته السنتين اللي فاتوا تاني
38907,هيئة الاتصالات والفضاء والتقنية تنشر تقرير مؤشرات سرعة الانترنت وسـرعة الوصول للمحتوي الرقمي في المملكة مقياس الربع الرابع لعام ، وهنا تغريدات متسلسلة لابرز نتائج القياس
120232,اعلام العدو ايران تطلق علي اسرائيل اسلحة محرمة دوليا ذات رؤوس انشطارية
76048,فيه فترة كنت بشتغل فيها و معنديش وقت اصلا الا ساعة او ساعتين ف لما تشتغل مش هتفتحها حتي ف يوم عادي والعزيمة مش بالاجبار لان الممنوع مرغوب انا خففت سوشيال فترة و ادمنت الالعاب ف مستفدتش حاجة كدا وقتها
80007,لما تنسي انت باي ركعة وتقرر تسجد سجود سهو وتنسي بعد
100178,اقبال كبير علي حجز الوحدات السكنية بمشروع جوهرة الرصيفة في مكة المكرمة تم حجز من الوحدات السكنية حتي الان سارع بحجز وحدتك السكنية عبر تطبيق سكني او بزيارة الرابط
65682,انا يوم كنت عاطل كان عندي حق قوت يومي والبنزين ماطفر بس ما كنت اقدر اشتري الكماليات والصدق كانت ايام احلي من الوظيفه
15655,انهارده كنت مع صديقه المانيه عندها صفتين تخليك تقول استحاله تكون المانيه بتضحك وبتتكلم انجلش كويس
3389,الف مبروك و انا اتمني الزواج المبكر يكون متعارف اكثر من الان لانه في مصلحة الشباب و الستر
44258,البيدوفيلي نبره جريمة جديدة سيدة خمسينية متبنية ، والدها بالتبني وابنائه بالدم مروجين مخدرات تناوبوا علي اغيصاب اطفالها جماعيا طفلة عمرها سنوات واخويها و سنة ولكن لم تثبت عليهم التهم لانهم غسلو الاطفال وحبسوهم ثلاث شهور لهذا لما بغلت محد صدقها ادخلوا حسابها وساعدوها
80796,جمعت اوراق شجرة النيم محتارة كيف احطهم بشعري قريت انها تشيل القشرة وتوقف تساقط الشعر
122503,اظرف عقاب لكل اللي غلطوا في حقك ، انك كل ما تكتب حاجة عن الناس الوسخة يفتكروك بتلقح عليهم
75988,تصنع الثروات من قلب الثغرات لكل نشاط تجاري خبايا وثغرات لا تاتي الا بعد وقت طويل من مزاولة النشاط ولكن بعض رواد الاعمال الجدد يحصل عليها بعد دراسة جدوي علمية دقيقة تكون بمثابة المصباح الذي ينير الطريق في الظلام الحالك
103908,في مصطلح عند السعوديين بيقولوا جلبي يعورني المهم انا حساه دلوقتي
93140,و عندما خرج من المدينة خائفا ملاحقا مترقبا ان يمسك به المنادون بالثار لمن قضي علي يديه خطا ؛ كان في انتظاره سكن واهل لم يدر بخلده ربما ان ينزل مقاما كهذا وهو مطارد شريد
113445,مساوئ انو يكون عندك اخت لا نهائية بس طبعا اقل سوء من انو يكون عندك اخ
54468,مديري طلب مني اسوق عرض لبروجكت شغالين عليه و اشتغلت علي العرض وخلصته وجيت اليوم يوم شافه قال اممم لالا خلاص خليه اذا اكتمل البروجكت كامل نعرضه يعني شهرين او اكثر عشان ماحب نعرض شي مو مكتمل طيب علي ايش حاطه الرود ماب و النكست اكشن
75079,هل جلست يوما علي الرصيف لان اقدامك لم تعد تحتمل عبء اثقالك ، جلست وانت محطم بالخذلان بالخيبات والهزائم وشعور انك لم تحقق شيء
38673,انك تمنع نفسك عن حد عشان وجودك ممكن ياذيه و في نفس الوقت غيابه بياذيك انت دا مهلك جدا
95910,حبك بلاني يوم انا صبي لوشفتني شيبه وافرس وامشي بعكازين وارتي والله والله ما تعرس ما دام راسي باجي وحي انا الذي ساجي واغرس بيداركم خرفوا لي شوي عيزت كم اطبخ واهرس ويوم اغرفوا ما بدني شي كله كله ذاك المضرس لي يايب خطوطه من دبي واجف علي بابي واحرس
87503,حتي انا عندي نفس الشعور احس ودي اعوض عن مرحلة المراهقة لانها كانت عبارة عن صدمات متتالية و الم ما احس اني عشتها بسعادة زي الباقين
89587,الاغنية دي من ساعة ما سمعتها وانا مقتنع اقتناع تام انها لازم تتحط علي ال بتاع فيلم
111280,رديت علي وحدة في تيك توك وحذفوا تعليقي لانتهاك سياسة مدري ايش الزبدة اول مرة تصير لي احس اني قادحة
81159,يصير انك تحب كل من يحمل الاسم ، لان فلان اسمه كذا يصير ولا ما يصير ؟
39297,احلي شكل للبرد البرد حولك وباطرافك بس الجوف دافي وراضي وسعيد في كنف الاحبة ودفء وجودهم
58293,غدا الساعة الظهر الدفاع المدني ينفذ تجربة للمنصة الوطنية للانذار المبكر عبر الهواتف المتنقلة في حالات الطوارئ بما فيها بلغوا كبار السن لا يخافون
32319,هنبدا سلسلة يا سمسومة هكتب كده كل يوم لحد ما دماغي تستوعب فعلا ان مافيش حد مهتم خالص
119903,ابوي الله يغفر له ويرحمه اشرف منك كلب يا تربية شوارع تفوو عليك
85911,ما عشان اغلب التشخيصات معمولة عشان تسهل ال او ال المشكلة ان مع الوقت بقا التركيز علي التشخيص نفسه مش المشاكل اللي بتعاني منها ، انت مش بتعمل تصرف معين عشان انت بتعاني من ال ، لا انت اتصرفت بطريقة معينة فممكن احطك في الخانة دي مش العكس و مش هو السبب
75394,احب الابواب لقلبي اول باب دخلت منه للحرم واول نظره للكعبه كانت من باب الملك فهد رقم اللهم لا تجعله اخر عهدنا بك اللهم عوده قريبه
53419,هذي العبايه عجزت احصلها باي مكان يكون منها في مصر
22805,الجامعه بتبضن عليا و تصحيني الساعه بس احنا صايعين وبنسهر للساعه
11856,اح اح هلا بالزين هلا بالبوم السنه هلا بالطيب الغالي
125621,فكرة ال في مصر مشكلتها دايما انها مش محطوطه في لاي مشروع وده اللي بيخلي بيزنس كتير ميكملش ويقع من يومين طلبت اوردر من مطعم مش براند خالص وحصل فيه خطا بس للامانه ال اللي شوفتها منهم مشوفتهاش في مطاعم براندز حاجه هايله
40092,اشكو اليك امورا انت تعلمها ما لي ع حملها صبر ولا جلد اتيتك بما تبقي مني فاعني يا الله
77626,وفي اعماق كل نفس الام ثاوية وتذكارات جاثمه وجراح صديدة اندمل بعضها علي فساد يكفي ان تلمسها يد او اشارة لتمضها الاوجاع فتعمد الي الاستغاثه والانين غاية الحياه مي زياده
32012,كل احلامي تهون لين احلم بحيوانات انصرع ، يعني ليش قاعد اتضارب مع لاما
52354,نفسي حد يفهم الرجالة ان الطلاق اوبشن طلق دين ابوها يسطا مش لازم تقتلها مش نافعة مع كسمك طلقها وخليها تقعد في بيت اهلها معززة مكرمة ، سيبها تربي العيال اللي للاسف جابتهم من خلفتك المعرصة ليه القتل ؟ ليه كسم الضرب ؟ طلقها يابا طلقها دا اختيار لو الدنيا قفلت في وش كسمك اوي يعني
104509,انا بس عايز اسال والله بعد حوار اوبر ده ايه الميزة اللي بتخلي في حد في مصر لسه بيتسخدم الابلكيشن ده من الاساس ؟ ايه الحد التنافسي ليه يعني قصاد كل البدايل التانية وخصوصا انه اغلي واخد فيهم وكل الكباتن اللي شغالين عليه تقريبا شغالين كباتن في باقي البدايل ؟
114065,ومسوي نفسه منمق ومثقف علي جبار اقول له هاو ار يو يقول دنجبي
97546,اليوم لا يسعني الا ان اقول الامر متروك لله الواحد الاحد
13736,براحة شوية شوية شوية علينا يا شيخة موجه كلامه للحياة
18055,بما اننا فاضيين حد حصل معاه قبل كدا ظواهر غير طبيعية او غير منطقية او ما يسمي بالماورائيات يقدر يشاركها ؟
128581,ياخي والله اتكلم صدق ركز معي وبتعرف انها حالتين مختلفة لو تبي اشرح لك صوتية عادي
76649,القدف من ناس يدعون انهم يدافعون عن الاسلام من امس ماوقف عندي لا في خاص ولا في العام فقط لاني اصحح الفهم الخاطئ للدين واقولهم النقاب و الحجاب و العبايه ليسو من الدين اقسم بالله العظيم يا عندي جبل من الحسنات الحمدلله
78325,اتمني ملاقيش حد واخد صورة الدفتر وبيقول اعفن خط شوفته في حياتي
56963,صباحكم سعادة وجمعتكم مباركة ولا تنسوا سورة الكهف فهي نور بين الجمعتين
129205,مش ناسينك يا شبيح لا انت ولا ابوك المسؤول عن تعذيب مساحين صيدنايا ، انت شبيح لدرجة انك صديق ومقرب من عائلة الاسد ، لا تنسوهم ردع العداون
37588,حاسة اني مش عارفة ارجع زي الاول رغم محاولاتي بس مبقدرش ارجع تاني ، عايزة احس اني عايشة وترد فيا الروح تاني
108757,اليوم اخوي صحاني من النوم وهو يقولي بعد ساعتين استوعبت انه يقول صح النوم
42995,بالتحقيق كنت بسوء عادي ومتكي اديا وصباعي وقعني فتنيتو وبعدها لاحظت الشمس قية من قهة الشمال بتاع البنت فؤلتلها تغير مكانها دي زي بنتي يا باشا دا اللي حصل بزبط كدا وقاه النبي يا حضرة سيادتك انا بريء بريء يافندم تم القبض
113792,الساعة الصبح الجو فيه شبورة خفيفة صوت الشيخ محمد رفعت العصافير عامله جو حلو بصوتها معاك سندوتشاتك الي هتاكلها كل همك يوم الخميس يجي عشان تلعب بالكمبيوتر شويه ياريت الايام دي ترجع
95475,صباح الخير لو حسيت نفسك مش اوكاي اشرب قهوتك في اسكندرية
92753,في هذا الوقت من الليل عطونا اسئلتكم سوا رياضية او غيرها
